Repaid,Nonrepaid,tau
705.954,346.279,1
722.114,349.122,2
749.112,360.307,3
787.678,371.78,4
828.654,385.461,5
873.728,399.097,6
913.378,411.146,7
952.844,421.243,8
988.362,428.91,9
1023.488,435.191,10
1056.48,438.76,11
1084.188,439.829,12
1108.82,439.056,13
1129.794,436.714,14
1148.074,431.841,15
1164.916,425.536,16
1176.718,417.376,17
1186.284,408.117,18
1193.488,396.31,19
1197.442,383.846,20
1200.016,370.279,21
1201.602,355.054,22
1198.41,339.43,23
1194.11,322.934,24
